# MEAN_SAMPLE_SIZE = 7714
# TOTAL_GENES = 18508
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
cluster.1         SET    1340    -0.071389    -0.018501      0.02608       0.9969
cluster.2         SET    1363    -0.007351   -0.0019201     0.026167      0.61061
cluster.3         SET    1358    -0.016804   -0.0043819     0.026066      0.74043
cluster.4         SET    1331    0.0017764   0.00045893     0.025846       0.4726
cluster.5         SET    1357     0.035852    0.0093455     0.025573     0.080476
cluster.6         SET    1354    -0.039297    -0.010233      0.02641      0.93161
cluster.7         SET    1357    -0.031647   -0.0082494     0.026025      0.88801
cluster.8         SET    1339    -0.031151   -0.0080701      0.02607      0.88392
cluster.9         SET    1344  -0.00032673  -8.4791e-05     0.026082        0.505
cluster.10        SET    1354    -0.028768   -0.0074911     0.026383      0.86222
cluster.11        SET    1359    -0.011823    -0.003084     0.026067      0.67493
cluster.12        SET    1354   -0.0033799  -0.00088014     0.026038      0.55164
cluster.13        SET    1364    -0.023645   -0.0061782     0.026254       0.8161
cluster.14        SET    1365    -0.010239   -0.0026762     0.026138      0.65237
cluster.15        SET    1365     0.062811     0.016417     0.026703     0.009338
cluster.16        SET    1361      0.08074     0.021075     0.026575    0.0011918
cluster.17        SET    1297    -0.008013   -0.0020456     0.027258      0.61561
cluster.18        SET    1350     0.014443    0.0037559     0.026794      0.29493
cluster.19        SET    1358     0.053386     0.013921     0.026523     0.022075
cluster.20        SET    1335    -0.014863   -0.0038452     0.026618       0.7117
cluster.21        SET    1319     0.048878     0.012575     0.027165     0.035995
cluster.22        SET    1319     0.016211    0.0041708      0.02717      0.27537
cluster.23        SET    1339    -0.009465   -0.0024521     0.026345       0.6403
cluster.24        SET    1367     0.007643     0.001999     0.025736      0.38325
cluster.25        SET    1359    -0.011753   -0.0030657     0.026475      0.67145
cluster.26        SET    1357    0.0071156    0.0018548     0.025405      0.38971
cluster.27        SET    1354    -0.016647   -0.0043348     0.026375      0.73603
cluster.28        SET    1349    -0.017335   -0.0045064     0.026211       0.7458
cluster.29        SET    1357     -0.01346   -0.0035086     0.025913      0.69827
cluster.30        SET    1352    -0.020578   -0.0053549     0.026334      0.78272
cluster.31        SET    1351    -0.014812   -0.0038531     0.026064      0.71507
cluster.32        SET    1366      0.01488    0.0038906       0.0264       0.2865
cluster.33        SET    1362     0.071823     0.018754     0.026979    0.0038863
cluster.34        SET    1361     0.059182     0.015448     0.025795     0.010893
cluster.35        SET    1362     0.034434     0.008991     0.026551     0.097344
cluster.36        SET    1363     0.061176     0.015979     0.026622     0.010788
cluster.37        SET    1358     0.025686    0.0066977     0.026751      0.16849
cluster.38        SET    1362     0.031327    0.0081799     0.026685      0.12021
cluster.39        SET    1360     0.018066     0.004714     0.026287      0.24596
cluster.40        SET    1357     0.043829     0.011425     0.026303     0.047839
cluster.41        SET    1361     0.031626     0.008255     0.026519      0.11653
cluster.42        SET    1360     0.045018     0.011747     0.026662     0.045668
cluster.43        SET    1352      0.08449     0.021986      0.02685     0.000827
cluster.44        SET    1354     0.065271     0.016997     0.027009    0.0078386
cluster.45        SET    1354     0.033315    0.0086754     0.026822      0.10711
cluster.46        SET    1360     0.035731    0.0093235     0.026537     0.089084
cluster.47        SET    1354     0.062351     0.016236     0.026744    0.0098724
cluster.48        SET    1355     0.038327    0.0099839      0.02671     0.075658
cluster.49        SET    1364     0.021588    0.0056407     0.026768      0.20998
cluster.50        SET    1348     0.028597    0.0074314     0.026144      0.13703
cluster.51        SET    1365        0.053     0.013853     0.026461     0.022601
cluster.52        SET    1360     0.036222    0.0094514     0.026502     0.085865
cluster.53        SET    1356     0.028132    0.0073306     0.026511      0.14432
cluster.54        SET    1367     0.035228    0.0092138     0.026101     0.088573
cluster.55        SET    1357     0.026019    0.0067823     0.025768      0.15632
cluster.56        SET    1304      0.01144    0.0029277      0.02735      0.33787
cluster.57        SET    1361     0.037613    0.0098179     0.026851     0.080647
cluster.58        SET    1354   -0.0049119   -0.0012791      0.02639      0.57383
cluster.59        SET    1365   -0.0029229  -0.00076396     0.026295      0.54425
cluster.60        SET    1355     0.013557    0.0035315     0.026649      0.30547
cluster.61        SET    1361    0.0068609    0.0017908     0.025514        0.394
cluster.62        SET    1309     0.038588     0.009893     0.027062     0.076954
cluster.63        SET    1359   -0.0026905  -0.00070181      0.02621      0.54088
cluster.64        SET    1324    -0.002008  -0.00051751     0.026608      0.53008
cluster.65        SET    1340    -0.011417   -0.0029588     0.026851      0.66465
cluster.66        SET    1357   -0.0041537   -0.0010827     0.026392      0.56253
cluster.67        SET    1358    0.0020236   0.00052767     0.026839      0.46995
cluster.68        SET    1348     0.015238    0.0039599     0.025978      0.27875
cluster.69        SET    1350     0.032756    0.0085182     0.026442      0.10772
cluster.70        SET    1354     0.053109      0.01383     0.026584     0.022881
cluster.71        SET    1367     0.010031    0.0026237     0.026216      0.35099
cluster.72        SET    1355    0.0094303    0.0024565       0.0264      0.36047
cluster.73        SET    1348    0.0015321   0.00039814     0.025954      0.47646
cluster.74        SET    1342     0.041046     0.010645      0.02598     0.057074
cluster.75        SET    1356      0.01435    0.0037393     0.025531      0.28704
cluster.76        SET    1369     0.014995    0.0039246     0.025681      0.27965
cluster.77        SET    1367     0.021996    0.0057532     0.025932      0.19816
cluster.78        SET    1346    -0.012899   -0.0033497     0.025891      0.69082
cluster.79        SET    1350    -0.029822   -0.0077552     0.026452      0.87021
cluster.80        SET    1333     0.032843    0.0084909     0.026232      0.10529
cluster.81        SET    1359     0.016652    0.0043437     0.026176      0.26234
cluster.82        SET    1316     0.002768    0.0007114     0.026457      0.45834
cluster.83        SET    1344     0.031185     0.008093     0.026306      0.11792
cluster.84        SET    1346    -0.024026   -0.0062394     0.026467      0.81799
cluster.85        SET    1364      -0.0238   -0.0062185     0.026179      0.81835
cluster.86        SET    1362    0.0060888    0.0015898     0.025696      0.40635
cluster.87        SET    1354      0.01947      0.00507      0.02626      0.22922
cluster.88        SET    1362     0.010441    0.0027261     0.026059      0.34434
cluster.89        SET    1361     0.022509    0.0058753     0.025854      0.19198
cluster.90        SET    1329    -0.019064   -0.0049218     0.026366      0.76517
cluster.91        SET    1333     0.023902    0.0061795     0.026435      0.18296
cluster.92        SET    1353     0.011013    0.0028669     0.026171      0.33694
cluster.93        SET    1321    0.0067987    0.0017504     0.026759      0.39972
cluster.94        SET    1358     0.014683    0.0038286     0.026119      0.28701
cluster.95        SET    1361   -0.0063146   -0.0016482     0.026137      0.59545
cluster.96        SET    1327    -0.024407   -0.0062969     0.026793      0.81883
cluster.97        SET    1346     0.036253    0.0094146     0.026043      0.08196
cluster.98        SET    1308   -0.0040865   -0.0010473     0.027008      0.56013
cluster.99        SET    1359    0.0094032    0.0024528     0.026231         0.36
cluster.100       SET    1359    0.0038076   0.00099318     0.025994      0.44177
cluster.101       SET    1372    -0.022902   -0.0060002      0.02626      0.80843
cluster.102       SET    1349   -0.0097075   -0.0025235     0.026208      0.64446
cluster.103       SET    1351    -0.017813   -0.0046338     0.026181      0.75186
cluster.104       SET    1339     0.020085    0.0052034     0.026109      0.22087
cluster.105       SET    1346    -0.016589    -0.004308     0.025977      0.73846
cluster.106       SET    1337    0.0058304    0.0015094      0.02641      0.41264
cluster.107       SET    1350    0.0051479    0.0013387     0.026352      0.42256
cluster.108       SET    1329    -0.025507   -0.0065853     0.026653      0.83071
cluster.109       SET    1340    -0.036406   -0.0094349     0.026185      0.91778
cluster.110       SET    1363    0.0066885     0.001747     0.026077      0.39879
cluster.111       SET    1352    -0.043075    -0.011209     0.025893      0.95189
cluster.112       SET    1339   0.00085473   0.00022143     0.026113      0.48694
cluster.113       SET    1370    -0.022632   -0.0059253     0.025197      0.81545
cluster.114       SET    1363    -0.021265   -0.0055544     0.025595      0.79697
cluster.115       SET    1353   -0.0061137   -0.0015915     0.026765      0.59034
cluster.116       SET    1345     0.013492    0.0035027     0.026603      0.30602
cluster.117       SET    1356    0.0029348   0.00076474     0.026625      0.45612
cluster.118       SET    1347   -0.0012013  -0.00031206     0.026635      0.51799
cluster.119       SET    1360    0.0095815    0.0025001     0.026932      0.36101
cluster.120       SET    1333    -0.012991   -0.0033586     0.026415      0.68857
cluster.121       SET    1352     0.039773      0.01035     0.026494     0.066665
cluster.122       SET    1300     -0.02102   -0.0053718     0.026964      0.78217
cluster.123       SET    1294     0.013698    0.0034932     0.027091      0.30656
cluster.124       SET    1355    -0.014122   -0.0036788     0.026349      0.70401
cluster.125       SET    1350     0.016261    0.0042287     0.025809      0.26433
cluster.126       SET    1342     0.032452    0.0084161     0.026571      0.11098
cluster.127       SET    1329   -0.0070085   -0.0018094     0.026786       0.6032
cluster.128       SET    1361     0.012851    0.0033544     0.026116      0.31134
cluster.129       SET    1354    -0.025023   -0.0065161     0.026594      0.82662
cluster.130       SET    1356     0.019775    0.0051529     0.026928      0.23137
cluster.131       SET    1363   -0.0039385   -0.0010287     0.026127      0.55991
cluster.132       SET    1320     0.058578     0.015076     0.026214      0.01273
cluster.133       SET    1351    -0.024053   -0.0062571     0.026125      0.82139
cluster.134       SET    1316     -0.01556    -0.003999     0.026713      0.71987
cluster.135       SET    1363     0.008787    0.0022951     0.026259      0.36896
cluster.136       SET    1348     0.012044      0.00313     0.026755      0.32629
cluster.137       SET    1359  -0.00075267  -0.00019633     0.026485      0.51134
cluster.138       SET    1334    0.0076594    0.0019809     0.026436      0.38601
cluster.139       SET    1343    -0.036327   -0.0094242     0.026595      0.91401
cluster.140       SET    1336     0.022747    0.0058869     0.026572        0.196
cluster.141       SET    1305     0.010408    0.0026645     0.027354      0.35179
cluster.142       SET    1355      0.02557    0.0066606     0.025951      0.16224
cluster.143       SET    1347     0.048595     0.012624     0.026756     0.034676
cluster.144       SET    1356    -0.010723   -0.0027942      0.02611      0.65934
cluster.145       SET    1348     0.024072    0.0062557     0.026469      0.18156
cluster.146       SET    1360    -0.013057   -0.0034071     0.026013      0.69215
cluster.147       SET    1341    -0.019318   -0.0050082     0.026018       0.7711
cluster.148       SET    1372     0.030867    0.0080868     0.025767      0.11548
cluster.149       SET    1351    0.0038152   0.00099246     0.026531      0.44283
cluster.150       SET    1340    -0.021929    -0.005683     0.026657      0.79463
cluster.151       SET    1341    -0.015605   -0.0040456     0.026441      0.72247
cluster.152       SET    1337    -0.058698    -0.015196     0.026131      0.98765
cluster.153       SET    1364    -0.005058   -0.0013216     0.026495       0.5757
cluster.154       SET    1350    -0.024938    -0.006485     0.025963       0.8316
cluster.155       SET    1342    -0.032575   -0.0084478     0.025998      0.89489
cluster.156       SET    1328   -0.0025919  -0.00066894     0.026394      0.53911
cluster.157       SET    1355   -0.0012133  -0.00031606     0.026249      0.51843
cluster.158       SET    1358     0.037297    0.0097255     0.026127      0.07672
cluster.159       SET    1315    -0.045813     -0.01177     0.026371      0.95882
cluster.160       SET    1354    -0.019945   -0.0051937     0.026441      0.77467
cluster.161       SET    1341    0.0066646    0.0017278     0.026368      0.40023
cluster.162       SET    1370    0.0031246   0.00081806     0.025454      0.45115
cluster.163       SET    1348    -0.045715     -0.01188     0.026453      0.95801
cluster.164       SET    1357    -0.018227   -0.0047511     0.025668      0.76117
cluster.165       SET    1355    0.0012922   0.00033661     0.025789      0.48002
cluster.166       SET    1319     -0.03715   -0.0095579     0.026004      0.92344
cluster.167       SET    1326    -0.025515   -0.0065806      0.02643      0.83282
cluster.168       SET    1350    -0.061888    -0.016094      0.02571      0.99196
cluster.169       SET    1354   -0.0036402  -0.00094792     0.026292      0.55506
cluster.170       SET    1352   -0.0077149   -0.0020076     0.026246       0.6156
cluster.171       SET    1363    -0.016994   -0.0044387     0.025724      0.74557
cluster.172       SET    1336    -0.037849   -0.0097953     0.026231      0.92547
cluster.173       SET    1356    -0.015906   -0.0041449     0.025837      0.73093
cluster.174       SET    1339      0.03228    0.0083628     0.026093      0.10803
cluster.175       SET    1321     0.033216    0.0085517     0.026298      0.10329
cluster.176       SET    1320     -0.03312    -0.008524     0.026458      0.89467
cluster.177       SET    1361     -0.00304   -0.0007935     0.025737      0.54701
cluster.178       SET    1361   -0.0069545   -0.0018153     0.026395      0.60391
cluster.179       SET    1351     0.026248    0.0068281     0.026711      0.16289
cluster.180       SET    1330    -0.001817  -0.00046926       0.0263      0.52754
cluster.181       SET    1346  -0.00014209    -3.69e-05     0.026497      0.50214
cluster.182       SET    1358     0.038311    0.0099898     0.025965     0.070054
cluster.183       SET    1327   -0.0061357    -0.001583     0.026171      0.59268
cluster.184       SET    1360    -0.027358   -0.0071385     0.026177        0.852
cluster.185       SET    1322     0.046101     0.011873     0.026184      0.03916
cluster.186       SET    1340     0.023681    0.0061372     0.026283       0.1838
cluster.187       SET    1360    -0.027623   -0.0072077     0.026115      0.85491
cluster.188       SET    1360     0.014033    0.0036617     0.025947      0.29431
cluster.189       SET    1352     0.031456    0.0081855     0.026278      0.11566
cluster.190       SET    1350     -0.01582   -0.0041139     0.026388      0.72558
cluster.191       SET    1328    0.0077377     0.001997     0.026394       0.3847
cluster.192       SET    1343     0.047655     0.012363     0.026489     0.036017
cluster.193       SET    1348    -0.051152    -0.013293     0.025775       0.9764
cluster.194       SET    1339       -0.006   -0.0015544     0.026028      0.59116
cluster.195       SET    1345     0.039857     0.010347     0.026236     0.064372
cluster.196       SET    1342     0.007373    0.0019121     0.025863       0.3878
cluster.197       SET    1345     0.030296     0.007865      0.02586       0.1207
cluster.198       SET    1345     0.058709     0.015241     0.026144     0.012372
cluster.199       SET    1349      0.01365    0.0035485     0.026218      0.30131
cluster.200       SET    1351    -0.025486   -0.0066298     0.025941      0.83706
cluster.201       SET    1365     0.055658     0.014548     0.026048     0.016315
cluster.202       SET    1326     0.002573   0.00066358     0.026136      0.46079
cluster.203       SET    1371       0.0338    0.0088524     0.026705      0.10282
cluster.204       SET    1364  -5.9336e-05  -1.5504e-05     0.026276       0.5009
cluster.205       SET    1368     0.015642    0.0040924     0.026726      0.27919
cluster.206       SET    1363  -0.00077018  -0.00020117     0.025635      0.51198
cluster.207       SET    1367     0.008788    0.0022985      0.02657      0.37042
cluster.208       SET    1328    -0.041206    -0.010635     0.026568      0.93953
cluster.209       SET    1364     0.013326     0.003482     0.025718      0.30217
cluster.210       SET    1356     0.046733     0.012178     0.026206     0.037277
cluster.211       SET    1356   0.00070757   0.00018438     0.026745      0.48945
cluster.212       SET    1348    0.0053671    0.0013947     0.025983      0.41818
cluster.213       SET    1356     0.040547     0.010566     0.026219     0.061008
cluster.214       SET    1328   0.00082804   0.00021371     0.026868      0.48771
cluster.215       SET    1363      0.04288       0.0112     0.026205     0.050899
cluster.216       SET    1313     0.027639    0.0070958      0.02623      0.14602
cluster.217       SET    1294   -0.0088425    -0.002255     0.026774       0.6294
cluster.218       SET    1320   -0.0015564  -0.00040056     0.026469      0.52344
cluster.219       SET    1351   -0.0033843  -0.00088037     0.025906      0.55197
cluster.220       SET    1327    -0.026542   -0.0068476     0.026269      0.84383
cluster.221       SET    1350    0.0055085    0.0014325     0.026358      0.41723
cluster.222       SET    1358     0.021871    0.0057031     0.026066      0.20072
cluster.223       SET    1325    -0.029594   -0.0076299     0.026573      0.86729
cluster.224       SET    1370    -0.011441   -0.0029953     0.025423      0.67365
cluster.225       SET    1338      0.03454    0.0089453     0.026137     0.093178
cluster.226       SET    1372    0.0075348     0.001974     0.026307      0.38728
cluster.227       SET    1351   -0.0069321   -0.0018033     0.025488      0.60718
cluster.228       SET    1364    -0.015699    -0.004102      0.02606      0.72655
cluster.229       SET    1357     0.021513    0.0056077     0.026219      0.20597
cluster.230       SET    1336    -0.018118    -0.004689     0.026526       0.7527
cluster.231       SET    1355    -0.027932   -0.0072761     0.025964      0.85898
