cell_type	AF	AID	BD	BMI	Cardiovas	cd	CKD	College_edu	glucose_q	HDL_q	Hypothyroidism	ibd	insominia	LDL_q	Lymphocyte_count	MDD	Monocyte_count	Nrt_new	RA	RBC	SBP	Scz_new	Smoking	T1D	T2D_2	TG_q	uc
Bladder.Basal bladder epithelial cell	5.97384578362322e-05	0.984088240248323	0.976987866171868	0.672062428233844	0.792332640676769	0.996344155736739	0.080046794141891	0.624621224184267	0.877741014523763	0.839774897536689	0.998120761206754	0.996343914507486	0.0446152243417916	0.882357651563777	0.999983897599171	0.463109403291797	0.999999408108295	0.868514336685014	0.998772557525729	0.397365771090758	0.60859607964348	0.569985056611325	0.326766960806286	0.999993209793074	0.662737287818983	0.877436929026507	0.996344685484523
Bladder.Bladder mesenchymal cell	0.123142672415515	0.999704915520815	0.906484997802383	0.0361842929096662	0.533893493539825	0.570902292178356	0.547120496969094	0.744403945149941	0.419573572424981	0.542072641846331	0.999941853491972	0.571032064543639	0.415027112000239	0.908378617233245	0.999939282564597	0.497638946418619	0.999328892274464	0.487674733187605	0.887815108207819	0.999963742134359	0.000146740242220769	0.501033875217232	0.147292127512014	0.758861932160852	0.888715398857639	0.420734315276244	0.570930807763161
Bladder.Luminal bladder epithelial cell	0.0260277313369985	0.939422570749127	0.969598701808621	0.963754082679785	0.799688933732954	0.997389334365275	0.420657271411828	0.955891785394106	0.872143769467773	0.883811023863657	0.996693498033192	0.99740498546177	0.105916693638685	0.579555208884607	0.999980876898803	0.929912360371631	0.999999689459672	0.965935756326815	0.996811428640066	0.522221579969028	0.898378575514034	0.848438336020171	0.742408208583017	0.999756485809704	0.827755937371386	0.872027241374227	0.997390936844016
Brain_Myeloid.macrophage	0.970967649914251	3.99093970555976e-05	0.828316405648832	0.999913338153651	0.771804772222306	1.2083258145449e-07	0.904197796629888	0.999732050933755	0.16202913892218	0.0164747392570936	2.17177733195565e-07	1.21932802664403e-07	0.640989796046664	0.613807383312125	2.25239695398455e-07	0.999906711652903	3.34290436141869e-18	0.99706888581746	0.00758627019412599	0.111463070342857	0.999794308487264	0.997011990717256	0.98543987184099	0.00398643625249484	0.979674830489135	0.161788188490046	1.20853977526695e-07
Brain_Myeloid.microglial cell	0.977747928010698	0.0446908462726008	0.925070748875987	0.98913826536054	0.353305808872317	0.0267285186848653	0.800516680184596	0.995369136858305	0.723345840973228	0.258481906341685	0.00658798859420832	0.0268418078709438	0.878283720421989	0.846358665047279	0.0121395055019955	0.993939136249258	0.000216337882959747	0.971742110033104	0.546084628873142	0.606396742105896	0.947183696990029	0.981474418982308	0.90641503891959	0.101773665467659	0.91061617394207	0.723293875453392	0.0267273877376904
Brain_Non-Myeloid.Bergmann glial cell	0.647687457809146	0.998757121692197	0.000221228392819016	1.95444180089715e-06	0.894851751973141	0.999142850928275	0.54730881985412	2.91403972511322e-08	0.996648736937744	0.98966671608192	0.999995931184687	0.999147689357316	0.162379087774776	0.999877669809915	0.999994747274994	6.0030920905758e-06	0.99999998063023	5.8232850713686e-08	0.999999988477094	0.999999987901631	0.777005034581378	1.18612939281937e-05	1.79636484833642e-07	0.919975777156536	0.909458433237994	0.996679080091771	0.999142951801651
Brain_Non-Myeloid.astrocyte	0.749696034165207	0.989059417144086	0.000103451786043552	2.73066345283763e-06	0.99373648814556	0.990208150753595	0.476994840282516	7.70681933146e-08	0.951903505943698	0.906923862277194	0.999675320563021	0.990243314760107	0.294959495003339	0.999874080945043	0.999986998150672	0.00140862429760599	0.999999800660413	3.29267455201411e-07	0.999995752846083	0.999999997573858	0.926652527292976	0.00135990905441424	1.10251824915257e-05	0.899008162821337	0.880596430932011	0.952286918472439	0.990211000317158
Brain_Non-Myeloid.brain pericyte	8.57267045270718e-06	0.99658971579321	0.0370232075726802	0.00031348781524395	3.08922850226846e-10	0.996063513801898	0.00356086097533303	0.0174445639060363	0.0112858379969741	0.018388806825268	0.985195568907572	0.996087716626878	0.00172686988511227	0.60643247336535	0.705543647526332	0.79367329173028	0.453729575459334	0.125897642612768	0.990491523053633	0.611171259648945	6.96142598686828e-18	0.796360797936118	0.392950370792247	0.997680090063035	0.776963298439355	0.0116235279743277	0.996066827579346
Brain_Non-Myeloid.endothelial cell	0.0269001652499987	0.960219543839063	0.880275126094652	0.858151636588931	0.0468411654602147	0.240550076780601	0.383197705336557	0.89851103066096	0.137334793694927	0.402753027603226	0.973894706048225	0.240263869151554	0.454540780544866	0.377899610110027	0.223768174934412	0.458581779794251	0.375756355743389	0.689222446645583	0.977035567046894	0.960675498123001	9.309329257419e-06	0.848843768997908	0.584565372784676	0.817244209826967	0.959073374292766	0.138676424059656	0.240490149671814
Brain_Non-Myeloid.excitatory neurons and some neuronal stem cells	0.749855854057728	0.999997497954634	8.60881756793961e-18	2.99251984360254e-35	0.363216971239699	0.999954557400608	0.192285764558739	4.01484520906229e-33	0.823252682351535	0.755843178817381	0.999999834180962	0.999953634054353	4.60992124791689e-07	0.999999605368338	0.999999999995019	1.20982104023685e-24	0.999999999997856	1.91408731246324e-21	0.999999870619226	0.999999914014554	0.597247505357228	6.92189519234238e-29	2.37811992295836e-21	0.998968432380295	0.10518973181559	0.824099101577385	0.999954526405894
