cell_type	AF	AID	BD	BMI	Cardiovas	cd	CKD	College_edu	glucose_q	HDL_q	Hypothyroidism	ibd	insominia	LDL_q	Lymphocyte_count	MDD	Monocyte_count	Nrt_new	RA	RBC	SBP	Scz_new	Smoking	T1D	T2D_2	TG_q	uc
Bladder.Basal bladder epithelial cell	0.00612822071752617	0.997474151338513	0.899225948064867	0.860430846642007	0.793826575165088	0.996325162441929	0.185479328653803	0.479230322738978	0.754110382315704	0.65423579363171	0.999066249519797	0.996543740878133	0.212588591869768	0.709812710245099	0.99999778063719	0.549708441080927	0.999998546175982	0.963418932680538	0.999958949229721	0.613771882176351	0.5936921388927	0.778581311638512	0.462725522455686	0.999996883976247	0.847570568710255	0.753066451108533	0.996529067853027
Bladder.Bladder mesenchymal cell	0.196955057655467	0.999883284015242	0.852992151651394	0.195932838198197	0.753056163147551	0.750029352764438	0.688934545982884	0.851405952127578	0.6925324303204	0.80402151938484	0.999896421451206	0.750719241599102	0.274632343958029	0.992476101888421	0.999991732069947	0.547440629747053	0.99990839489334	0.461090642935916	0.870603299118121	0.999999712558659	0.00308086011352267	0.593715321376564	0.227803754548342	0.809802852491623	0.955015483571822	0.690409753470096	0.750264101574222
Bladder.Luminal bladder epithelial cell	0.110013672957295	0.957111328313185	0.722501260378946	0.951222476484176	0.664297351985241	0.987123134824282	0.375634661834542	0.877846493486572	0.599047311129211	0.529784322278952	0.991748765141157	0.987715769360222	0.401713857663936	0.194970157290776	0.999894376647959	0.920058598289979	0.99998501054453	0.990475895169458	0.998747531740864	0.368266844685196	0.817196540820452	0.888658537554827	0.770875827965146	0.999660038741422	0.879359400489865	0.600159811320055	0.987682220612998
Brain_Myeloid.macrophage	0.975054077719983	1.97126142582546e-06	0.988978253608607	0.999818525574431	0.713821271121487	3.82625525094691e-11	0.511733888022323	0.999655276206	0.0623595116022056	0.0143252329346138	2.41610269392976e-07	4.35060823665483e-11	0.545938017632832	0.449065105730298	5.82581847792775e-09	0.999686106169284	1.95292252992297e-17	0.990936212713071	0.00390595995257566	0.0454476038235476	0.999641483229461	0.994958146354583	0.95703087786452	0.000143771146247676	0.984287866422648	0.0619808213617283	4.24847961274418e-11
Brain_Myeloid.microglial cell	0.955875870676228	0.0270259616509035	0.989649634341914	0.950333336332779	0.421809337118597	0.00205828676376984	0.496923004275993	0.996457930096645	0.696395265089886	0.177551553109112	0.0133692553989398	0.00214593509138565	0.76863258627344	0.690963948429836	0.00120800317011853	0.992684409414067	0.000227193278480349	0.963411657150743	0.423279757614416	0.514903987617083	0.921029658809588	0.969257864894422	0.812904496499999	0.0538778715736707	0.929013230355905	0.697132393875619	0.00213379754767184
Brain_Non-Myeloid.Bergmann glial cell	0.516569207714286	0.999926942603499	0.00261581080657042	0.000134207053030466	0.946877090197433	0.999123208855343	0.783669746260092	2.59356158099937e-08	0.998636488135939	0.995994300652704	0.99999739049829	0.999085416578959	0.143627733613233	0.999983700573983	0.999999587192197	8.91840938260481e-05	0.99999999365901	1.21624321737817e-07	0.999999998588304	0.999999999180734	0.820365817797335	0.000101886760228463	3.48601095392188e-06	0.965404801498876	0.973745494569107	0.99865483638874	0.999086742356352
Brain_Non-Myeloid.astrocyte	0.537538872322456	0.994802246857541	0.00592452615745406	0.00016432931848012	0.996847688168192	0.996653294450543	0.721660653062908	6.3276315323607e-08	0.941674612385978	0.93088004656436	0.999626845955371	0.996546015435087	0.258353490347554	0.99994487120483	0.999998842622399	0.000866690957009272	0.999999962568302	8.82369394059325e-07	0.999998171654373	0.999999999908546	0.875687177297899	0.00169252006396962	6.06018829853847e-06	0.909156701851433	0.937839800104334	0.942068251186071	0.99655653743579
Brain_Non-Myeloid.brain pericyte	0.000127468615760267	0.999930891439107	0.0483507867319744	0.00124106860806221	5.23896106315348e-08	0.992277676044655	0.00550012137376462	0.00422102099473864	0.0157521510420209	0.0346796391135905	0.993774126665593	0.992246714951474	0.000737121213047329	0.430197473152758	0.783756209222633	0.713839776647634	0.427207749895206	0.125981137739794	0.998112209808931	0.699938594338687	1.06675042692556e-15	0.588342866005746	0.393863295903575	0.997877325167707	0.618356289272285	0.015871233187833	0.992273911274217
Brain_Non-Myeloid.endothelial cell	0.0925459681664956	0.97711848581466	0.937816555557813	0.982161047306138	0.188664088488199	0.118849184479197	0.346832194799323	0.96754174181478	0.383335773919692	0.339254031885826	0.975345871530006	0.121711213730701	0.290294758089704	0.497664289836686	0.359722332395148	0.642672763308951	0.375537504389821	0.436878842199487	0.908143643399853	0.915923977318544	0.000144884230330291	0.854501206188015	0.707524809447061	0.859163421467656	0.957653649750731	0.382581274944426	0.121297674662208
Brain_Non-Myeloid.excitatory neurons and some neuronal stem cells	0.69249629792556	0.999999952872886	5.2356732494895e-15	8.75310857649179e-27	0.488955334926665	0.999998842649875	0.336949541926322	1.40927126882646e-29	0.887539798211499	0.942026846688519	0.999999999953131	0.999998645350722	5.19627309936787e-08	0.999999993890213	0.999999999999998	2.87492854583289e-22	0.999999999999978	9.32405393500468e-20	0.99999998067508	0.999999999925055	0.728872592696399	1.06943101362927e-24	2.26187572301022e-19	0.999786788750082	0.0830329942327824	0.888884123338783	0.999998663212491
